Sim Time,Distance to TS 1,Distance to TS 2,Speed Com,Angle Com,Speed OS,Angle OS,Run Time,OS pos,TS pos,Coll check
1.904,1.927,1.942,1.983,1.99,2.005,2.014,2.045,2.057,2.086,2.109,2.141,2.157,2.191,2.203,2.235,2.245,2.247,2.326,2.366,2.388,2.406,2.422,2.435,2.445,2.446,2.477,2.479,2.508,2.543,2.546,2.551
142.49047566070394,142.48521214638015,142.5615480812501,142.64216501031518,142.63674451474023,142.67442592866598,142.66918686305547,142.74851869459982,142.74356732432958,142.8195545116945,142.81250254515524,142.88479775948122,142.8772473570489,142.946802551912,142.97719092273502,143.00717575710783,143.03781587663087,143.0689359716437,143.10051604507308,143.17788562225226,143.2119710344928,143.24678705530013,143.2822459482885,143.31636882838282,143.34983613182987,143.33456569361056,143.36633029243404,143.39695686587882,143.42645849551252,143.45453498022334,143.48104204706038,143.45969980840945
196.62661011598172,196.61836316906763,196.61000964180045,196.60048445876856,196.59300569425676,196.58444656921645,196.57719598674387,196.56289253807878,196.55602230891807,196.53376057618365,196.5238242390504,196.4932391404893,196.48255718287948,196.44432597201646,196.4156203003973,196.3838714187074,196.34990103238982,196.3341977046165,196.27435233387757,196.21224745285602,196.1718787737442,196.13058948458325,196.08809047388948,196.04444255567887,196.00025439825117,195.9778636017185,195.93141580640383,195.90611113666537,195.83452596320961,195.7623855467488,195.73301821982224,195.7015434701324
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
89.42785418561232,89.42793384575634,89.42801750670975,89.42809215147855,89.42817121044573,89.42824614314259,89.4283171665362,89.42838875484921,89.42845216975519,89.42851118877849,89.42856150666245,89.42860646985582,89.42865031551952,89.4286823673358,89.42870684020966,89.42872355734977,89.42872944948914,89.42871964148856,89.42869817431898,89.4286625182753,89.42861638794557,89.4285590412506,89.42848990593689,89.42840845685038,89.42831659962809,89.4282219447457,89.42811042875081,89.42798985693503,89.4278621840761,89.4277261397936,89.4275806466186,89.42742029223541
0.3511647883943797,0.3625648138124875,0.3694430825127366,0.3746925917886806,0.3743493781709919,0.3705203705577503,0.3628786691010183,0.353383953062024,0.34381345396814617,0.42098496376701483,0.4970072621619905,0.5144804938503207,0.5342563293147836,0.5878478960959971,0.644125536433644,0.7034505959944576,0.7399471176670359,0.7851914591889012,0.8361545630325478,0.8547845072104837,0.8848228118405502,0.9278187332812855,0.9806970132390356,1.042706939904143,1.0712428127985127,1.1195528464492515,1.1842326967725159,1.265261392339366,1.3120543545190912,1.3809102804192688,1.4684231505964418,1.573766520367433
86.1383682742923,86.25912885941943,86.16838107495664,86.5363241367885,86.37485327633459,86.4959208141301,86.5841446566447,86.49172618355135,86.73676426761949,87.33449811077605,87.86074105280187,88.0479056625706,88.11998258467122,88.49215495945708,88.71552482740339,88.90778670557421,89.12126793891139,89.39754953996487,89.57557126022164,89.79213231307403,89.93276418889735,90.06327002942243,90.1804147658379,90.2830629027307,90.3859141991428,90.3694439329629,90.49902369966156,90.51391866629763,90.54075857608206,90.55673282609274,90.56396816189527,90.60143814329518
7.1778,0,7.1478,0,11.1342,0,13.5868,7.025,0,0,10.8148,0,0,18.3199,7.8317,0,0,7.7759,6.5217,0,0,7.0313,7.6726,0,0,6.5433,6.9183,0,7.6233,0,13.9577,0,6.4817,0,0,5.8205,6.5766,0,4.8508,12.4267,0,6.6995,0,14.8838,0,12.3883,0,9.794,0,6.5419,0,0,15.4323,0,0,16.2516,6.1415,0,6.5619,7.2432,0,0,0,6.4024
[-9.85578558e+01 -3.93148659e-03],[-9.85506130e+01 -3.58068709e-03],[-9.85432332e+01 -3.21455527e-03],[-9.85357469e+01 -2.87889675e-03],[-9.85282681e+01 -2.52790485e-03],[-9.85208654e+01 -2.19211406e-03],[-9.85136149e+01 -1.87152437e-03],[-9.85065545e+01 -1.55087597e-03],[-9.84996843e+01 -1.26070687e-03],[-9.84912696e+01 -9.70509833e-04],[-9.84813332e+01 -6.95560228e-04],[-9.84710469e+01 -4.35848506e-04],[-9.84603650e+01 -1.76112734e-04],[-9.84486102e+01  5.30963437e-05],[-9.84357295e+01  2.67040661e-04],[-9.84216619e+01  4.65714204e-04],[-9.84068640e+01  6.33847262e-04],[-9.83911606e+01  7.56164463e-04],[-9.83744378e+01  8.47930568e-04],[-9.83573422e+01  8.93874097e-04],[-9.83396455e+01  9.09256274e-04],[-9.83210892e+01  8.94076038e-04],[-9.83014753e+01  8.48323487e-04],[-9.82806213e+01  7.72001803e-04],[-9.82591968e+01  6.65101438e-04],[-9.82368060e+01  5.58147316e-04],[-9.82131219e+01  4.05334544e-04],[-9.81878172e+01  2.37192645e-04],[-9.81615768e+01  5.37265694e-05],[-9.81339593e+01 -1.45072170e-04],[-9.81045920e+01 -3.59214185e-04],[-9.80731173e+01 -6.03974136e-04]
[1.29628244e-02 1.02891580e+02],[1.29628244e-02 1.02891580e+02],[1.28751575e-02 1.03004773e+02],[1.27572182e-02 1.03123921e+02],[1.27572182e-02 1.03123921e+02],[1.26982445e-02 1.03183494e+02],[1.26982445e-02 1.03183494e+02],[1.25497905e-02 1.03300352e+02],[1.25497905e-02 1.03300352e+02],[1.23860153e-02 1.03413789e+02],[1.23860153e-02 1.03413789e+02],[1.22221314e-02 1.03523807e+02],[1.22221314e-02 1.03523807e+02],[1.20429465e-02 1.03631351e+02],[1.19533670e-02 1.03685794e+02],[1.18790148e-02 1.03740757e+02],[1.17894811e-02 1.03797278e+02],[1.17151968e-02 1.03855233e+02],[1.16257324e-02 1.03914745e+02],[1.14468858e-02 1.04037648e+02],[1.13575142e-02 1.04101375e+02],[1.12834015e-02 1.04166842e+02],[1.11941176e-02 1.04234140e+02],[1.11048115e-02 1.04300706e+02],[1.10459255e-02 1.04366814e+02],[1.10459255e-02 1.04366814e+02],[1.09565993e-02 1.04432648e+02],[1.08672727e-02 1.04498389e+02],[1.07931490e-02 1.04563398e+02],[1.07037958e-02 1.04627704e+02],[1.06296499e-02 1.04691431e+02],[1.06296499e-02 1.04691431e+02]
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
